station_file,station,country,record_count,linear_rmse,linear_mae,linear_r2,ridge_rmse,ridge_mae,ridge_r2,ridge_best_alpha,ridge_cv_rmse
LIMPOPO_FINALE_Q_Day.Cmd.csv,FINALE,SOUTHAFRICA,1024.0,3.6226649623993037,2.5346611801452825,0.6309770909291592,3.8022155767289374,2.6576749860337774,0.5934907239314753,100.0,9.998300731503686
LIMPOPO_BEITBRUG_Q_Day.Cmd.csv,BEITBRUG,SOUTHAFRICA,3875.0,14.771567853944623,5.436337089873065,0.909735756929607,14.80109627499679,5.4498905121296914,0.9093745190928725,10.0,9.763485279993718
GARONNE_LAMAGISTERE_Q_Day.Cmd.csv,LAMAGISTERE,FRANCE,3131.0,31.164058794607612,20.637556938555594,0.9534389332372438,31.180661114416868,20.653195247336903,0.9533893101996486,1.0,53.74234215448941
CHAD_AMTIMAN_Q_Day.Cmd.csv,AM-TIMAN,CHAD,382.0,38.99821354818501,21.663587690637456,0.3250475767478379,37.975431034504396,20.02170064279512,0.3599864648087827,10.0,46.700413180648724
DANUBE_LUNGOCI_Q_Day.Cmd.csv,LUNGOCI,ROMANIA,571.0,54.69824965602332,42.28424159598121,0.619697895281798,50.33944644404515,40.995308733983464,0.677894054085469,100.0,199.0234710309285
GARONNE_MARMANDE_Q_Day.Cmd.csv,MARMANDE,FRANCE,3274.0,55.97988572244008,35.20263984686192,0.9546839419357518,55.980357248565674,35.20305907243533,0.9546831785260019,0.01,67.24671613643626
LIMPOPO_SICACATE_Q_Day.Cmd.csv,SICACATE,MOZAMBIQUE,3766.0,69.51052988782294,25.42086190068946,0.9343858006705809,69.53821873899102,25.447895642673096,0.9343335166885293,1.0,86.37746832477288
GARONNE_TONNEINS_Q_Day.Cmd.csv,TONNEINS,FRANCE,1964.0,71.33436825110695,50.24824428195443,0.9200456595024062,71.33253926679515,50.24614946423244,0.9200497594436634,0.01,110.19605806578252
CHAD_LAI_Q_Day.Cmd.csv,LAI,CHAD,646.0,94.55785435483584,68.9246938293121,0.6466106918497826,93.60468595727455,68.38157993669017,0.6536993003368867,10.0,206.22559461468114
GARONNE_LAREOLE_Q_Day.Cmd.csv,LA-REOLE,FRANCE,1791.0,102.38423507916589,52.471784552363054,0.823665087498423,102.24486289595828,53.19574854489308,0.8241448382012763,10.0,94.55252978715016
CHAD_MAILAO_Q_Day.Cmd.csv,MAILAO,CIAD,654.0,155.32320838083723,81.5336902399951,0.8665892440136032,156.75440965058863,82.48481407491597,0.8641193320435244,10.0,171.79126220891604
COLVILLE_UMIAT_Q_Day.Cmd.csv,UMIAT,UNITEDSTATES,1058.0,210.87016455501862,144.56549747063875,0.7102340202574613,210.6898998728434,144.41176933378722,0.7107292277772546,1.0,317.6160820501661
CONGO_CHEMBEFERRY_Q_Day.Cmd.csv,CHEMBE-FERRY,ZAMBIA,2929.0,236.1837495780252,141.7783977079971,0.8709998022494398,236.1841658409652,141.7785841319097,0.8709993475352693,0.01,229.1573837395713
DANUBE_MOHACS_Q_Day.Cmd.csv,MOHACS,HUNGARY,1086.0,302.83788394442655,220.43511167978846,0.7426424618226848,302.5169425558292,220.03141892682055,0.7431876572748208,1.0,500.30852850184857
GANGESBRAHMAPUTRA_YANGCUN_Q_Day.Cmd.csv,YANGCUN,CHINA,4414.0,362.7313982283855,98.96893862681549,0.6236781725336307,362.6399803483348,98.98618301932795,0.6238678346840679,1.0,295.7728854096365
CONGO_BANGUI_Q_Day.Cmd.csv,BANGUI,CENTRALAFRICANREPUBLIC,2518.0,384.44099228776224,237.12337577110094,0.9516201489202912,383.8800274262014,236.27481885833134,0.9517612347904624,1.0,655.2051699025877
CHAD_NDJAMENA_Q_Day.Cmd.csv,NDJAMENA,CIAD,3578.0,419.8475909363283,233.1833547445584,0.8989403144952239,420.6777541263285,234.0185130602289,0.8985402694485074,10.0,615.6039443263192
DANUBE_BOGOJEVO_Q_Day.Cmd.csv,BOGOJEVO,SERBIA,994.0,451.22732821709985,292.9133126242472,0.46667909716512856,450.9050976410601,292.1860962964108,0.4674405357101221,10.0,608.7130055675606
INDUS_KOTRI_Q_Day.Cmd.csv,KOTRI,PAKISTAN,5921.0,616.9267039631181,252.08321178024013,0.9732634544534424,616.9291355937054,252.0861305493319,0.9732632436876264,0.01,655.6909032120764
DANUBE_CEATAL_Q_Day.Cmd.csv,CEATAL,ROMANIA,3056.0,703.6647054428081,411.2831531812461,0.9082383210820112,703.4426954374997,411.3210917064075,0.9082962145557822,1.0,975.7366277430503
IRRAWADDY_SAGAING_Q_Day.Cmd.csv,SAGAING,MYANMAR,4379.0,922.3485825598931,424.25576237215694,0.97578317328856,922.6484843432644,423.8986576967271,0.9757674225184396,1.0,1150.909626063886
AMAZON_SAOFELIPE_Q_Day.Cmd.csv,SAO-FELIPE,BRAZIL,917.0,1706.6634513511344,1163.0510380202682,0.6023431856904934,1713.6935296082165,1171.7331795110986,0.5990603870272608,10.0,1860.195266689469
IRRAWADDY_HKAMTI_Q_Day.Cmd.csv,HKAMTI,MYANMAR,675.0,1717.9450972178345,691.6571254672492,0.5115219882808233,1754.9013411414246,655.5162530582209,0.49027977017710767,100.0,1346.7484857043262
CONGO_KINSHASA_Q_Day.Cmd.csv,KINSHASA,CONGOBRAZZAVILLE,858.0,2159.379957665009,1548.137185556322,0.7937641542942532,2159.4243600015884,1548.14951570024,0.7937556727414329,0.01,2963.096467439635
LENA_KYUSUR_Q_Day.Cmd.csv,KYUSUR,RUSSIA,1089.0,2581.7352954029043,1607.8859277490424,0.8805870844592589,2685.1093638700527,1800.3170312789787,0.8708329217393614,100.0,2649.0814579370153
IRRAWADDY_PYAY_Q_Day.Cmd.csv,PYAY,MYANMAR,3364.0,2653.709769163454,1250.3797385195892,0.9029386391543575,2727.0321418257586,1298.5695054783143,0.8975009021261228,100.0,3750.8835644604565
GANGESBRAHMAPUTRA_HARDINGEBRIDGE_Q_Day.Cmd.csv,HARDINGE-BRIDGE,BANGLADESH,2735.0,5978.365809517427,2285.7285590248594,0.7183850470781988,5932.611402098522,2340.854516017659,0.722679136346452,100.0,4572.269881897499
GANGESBRAHMAPUTRA_BAHADURABAD_Q_Day.Cmd.csv,BAHADURABAD,BANGLADESH,889.0,8423.489575805059,5410.449707568787,0.7476438232142906,8372.237444848655,5391.388247428956,0.7507053677986529,10.0,9795.8677158666
AMAZON_MANACAPURU_Q_Day.Cmd.csv,MANACAPURU,BRAZIL,1875.0,8712.410017294911,5241.4632224827765,0.914087757679421,8703.946362106564,5233.129795293992,0.9142545951925017,10.0,10012.045098199344
AMAZON_OBIDOS_Q_Day.Cmd.csv,OBIDOS,BRAZIL,2740.0,11446.458688906243,5125.122604991387,0.9472608101767016,11445.69284618961,5134.826590126019,0.9472678671319277,1.0,10414.973377704398
